frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps,num_detections,avg_confidence
0,512,391.64,224.81,528.31,1144.75,0.01,17,0.511
1,512,14.68,109.26,4.8,128.74,7.66,20,0.52
2,512,21.61,118.06,23.41,163.08,5.52,18,0.565
3,512,12.55,90.38,7.41,110.34,8.72,18,0.533
4,512,17.11,100.19,4.54,121.84,7.73,18,0.547
5,512,21.04,95.16,4.44,120.64,7.86,18,0.55
6,512,14.75,94.98,4.74,114.47,8.29,20,0.562
7,512,31.98,97.6,6.33,135.9,7.24,19,0.538
8,512,19.74,88.99,6.16,114.9,8.25,21,0.52
9,512,24.1,89.78,6.11,119.99,8.12,18,0.546
10,512,20.11,92.27,8.06,120.43,7.56,20,0.569
11,512,18.17,85.68,4.26,108.11,8.37,18,0.535
12,512,22.96,86.21,4.42,113.59,8.64,18,0.578
13,512,20.68,90.31,5.36,116.35,8.21,21,0.514
14,512,29.32,87.16,4.85,121.32,8.03,19,0.595
15,512,25.52,88.41,4.26,118.19,8.08,17,0.554
16,512,21.2,85.05,4.19,110.45,8.86,14,0.629
17,512,19.31,83.79,4.43,107.53,8.63,18,0.553
18,512,25.29,84.49,4.57,114.35,8.28,18,0.535
19,512,28.88,89.36,5.04,123.28,7.93,15,0.573
20,512,22.14,88.69,5.24,116.06,8.26,14,0.626
21,512,24.92,91.73,6.61,123.26,7.97,15,0.557
22,512,24.33,85.7,4.85,114.88,8.52,15,0.547
23,512,19.38,92.04,4.9,116.32,8.22,16,0.58
24,512,27.96,92.76,7.33,128.05,7.69,15,0.608
25,512,19.48,85.92,4.3,109.7,9.01,19,0.538
26,512,18.27,83.99,4.3,106.56,8.65,16,0.615
27,512,14.46,84.29,4.33,103.08,8.87,14,0.585
28,512,28.78,96.73,7.41,132.92,7.39,16,0.601
29,512,18.35,84.39,7.02,109.76,8.61,17,0.604
30,512,20.4,86.12,4.4,110.92,8.89,16,0.614
31,512,22.62,91.24,4.73,118.59,7.94,18,0.606
32,512,26.72,94.41,7.86,128.99,7.37,14,0.625
33,512,21.97,95.16,4.66,121.79,7.8,20,0.556
34,512,19.16,86.35,4.23,109.75,8.62,17,0.612
35,512,20.88,90.17,4.32,115.36,8.18,17,0.59
36,512,26.61,88.25,6.77,121.64,8.11,16,0.597
37,512,26.29,93.86,4.44,124.59,7.91,17,0.552
38,512,23.15,88.69,4.23,116.08,8.25,14,0.628
39,512,18.97,83.74,4.2,106.92,9.2,16,0.58
40,512,22.99,88.42,10.77,122.18,8.05,15,0.599
41,512,22.33,87.16,4.64,114.14,8.63,13,0.632
42,512,24.91,84.78,4.19,113.88,8.31,15,0.564
43,512,26.55,86.51,4.5,117.56,8.43,14,0.61
44,512,22.96,98.74,6.77,128.48,7.6,16,0.559
45,512,23.24,89.9,4.27,117.42,8.32,16,0.572
46,512,19.95,82.99,4.2,107.14,9.18,15,0.607
47,512,19.6,83.44,4.35,107.39,8.87,15,0.592
48,512,20.27,94.66,8.65,123.58,7.69,13,0.588
49,512,20.24,90.84,6.69,117.76,8.36,14,0.595
50,512,21.15,90.55,4.51,116.21,8.2,15,0.566
51,512,24.34,88.09,7.45,119.89,8.18,16,0.556
52,512,24.01,111.27,10.28,145.57,6.76,20,0.531
53,512,21.98,84.46,6.43,112.86,8.5,16,0.563
54,512,20.85,84.87,4.47,110.2,8.72,16,0.545
55,512,20.86,88.73,7.77,117.36,8.38,14,0.576
56,512,28.62,96.96,4.26,129.84,7.5,16,0.565
57,512,26.55,85.86,6.59,119.01,8.27,15,0.573
58,512,19.21,84.65,4.23,108.09,8.79,15,0.605
59,512,22.82,101.7,6.64,131.16,7.55,13,0.628
60,512,24.37,84.17,4.22,112.76,8.7,14,0.604
61,512,22.17,83.15,4.24,109.56,8.94,18,0.561
62,512,20.03,87.08,7.61,114.73,8.59,15,0.609
63,512,19.83,93.54,6.63,120.01,7.84,15,0.603
64,512,25.81,85.8,6.14,117.75,8.36,15,0.597
65,512,17.89,88.29,4.7,110.88,8.66,16,0.574
66,512,18.06,94.6,6.62,119.27,8.21,16,0.567
67,512,25.71,85.87,6.27,117.86,8.33,13,0.609
68,512,16.83,85.88,4.31,107.01,8.6,14,0.627
69,512,23.79,85.88,4.35,114.02,8.63,16,0.574
70,512,23.48,93.13,4.33,120.94,8.14,13,0.592
71,512,27.14,84.28,4.22,115.64,8.5,12,0.604
72,512,19.71,87.3,4.18,111.18,8.91,15,0.544
73,512,23.99,90.04,7.73,121.77,8.06,13,0.611
74,512,22.35,85.43,6.02,113.8,8.63,13,0.58
75,512,17.35,84.64,6.03,108.03,8.84,15,0.557
76,512,23.07,88.25,4.23,115.55,8.23,15,0.56
77,512,17.36,91.55,4.92,113.83,8.62,12,0.628
78,512,24.34,90.3,4.44,119.08,8.25,14,0.584
79,512,19.3,84.78,4.46,108.54,8.77,14,0.577
80,512,23.91,85.61,6.43,115.94,8.49,18,0.544
81,512,25.15,87.93,7.14,120.22,8.02,14,0.579
82,512,23.33,86.39,4.19,113.91,8.63,14,0.582
83,512,21.11,85.82,4.21,111.14,8.68,16,0.55
