frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps
602,240,3.58,24.72,3.47,31.77,30.04,13,0.354
603,240,3.58,21.8,3.92,29.3,32.4,13,0.372
604,240,6.23,23.18,4.8,34.21,28.05,14,0.358
605,240,4.83,23.45,3.55,31.84,30.03,17,0.289
606,240,3.64,23.22,5.23,32.09,29.78,15,0.317
607,240,4.89,29.23,5.09,39.21,24.56,16,0.314
608,240,10.49,23.98,5.32,39.79,24.23,17,0.345
609,240,5.37,23.68,7.09,36.15,26.59,20,0.335
610,240,5.68,24.29,3.55,33.52,28.47,20,0.279
611,240,3.69,22.59,6.35,32.63,29.12,16,0.315
612,240,3.49,23.37,4.44,31.3,30.37,15,0.31
613,240,3.61,25.49,3.44,32.54,29.31,15,0.331
614,240,5.54,25.81,5.63,36.97,25.98,16,0.296
615,240,3.65,24.17,3.5,31.32,30.38,14,0.407
616,240,9.87,23.31,5.27,38.45,25.03,14,0.339
617,240,4.77,25.75,5.78,36.29,26.43,15,0.324
618,240,5.85,24.78,5.61,36.23,26.51,13,0.381
619,240,3.66,22.4,5.81,31.87,29.89,12,0.389
620,240,3.38,26.82,6.45,36.65,26.24,16,0.362
621,240,5.95,25.28,6.2,37.43,25.68,16,0.364
622,240,3.59,22.81,3.5,29.9,31.82,11,0.415
623,240,6.75,23.71,6.9,37.37,25.76,15,0.338
624,240,4.71,23.34,5.07,33.12,28.96,15,0.352
625,240,4.76,22.44,5.05,32.25,29.61,14,0.377
626,240,4.88,22.93,6.73,34.55,27.73,15,0.355
627,240,7.09,24.56,4.08,35.72,26.78,15,0.36
628,240,5.47,23.45,3.53,32.46,29.42,14,0.375
629,240,3.43,23.07,4.37,30.87,30.79,14,0.363
630,240,3.46,24.23,4.46,32.15,29.7,14,0.329
631,240,3.54,23.32,3.55,30.4,31.03,13,0.307
632,240,6.68,22.82,3.49,32.99,29.07,17,0.341
633,240,5.21,23.96,7.23,36.4,26.32,15,0.286
634,240,4.97,22.43,3.43,30.82,30.91,14,0.341
635,240,3.43,22.29,3.51,29.23,32.39,12,0.36
636,240,6.87,23.44,5.0,35.31,27.17,8,0.441
637,240,5.62,23.29,5.2,34.11,28.08,10,0.356
638,240,4.11,23.31,3.43,30.85,30.86,16,0.331
639,240,3.43,22.48,4.38,30.3,31.37,12,0.359
640,240,3.28,27.74,3.43,34.45,27.84,10,0.371
641,240,3.61,22.72,3.54,29.87,31.91,11,0.344
642,240,3.64,22.09,4.71,30.45,31.07,11,0.361
643,240,3.29,26.01,3.45,32.75,29.37,9,0.363
644,240,7.84,24.24,3.62,35.69,26.86,9,0.354
645,240,6.29,21.91,10.58,38.78,24.8,11,0.25
646,240,4.83,22.89,3.49,31.21,30.6,11,0.345
647,240,8.15,22.41,3.37,33.93,28.15,8,0.382
648,240,3.41,21.63,5.35,30.39,31.35,10,0.227
649,240,3.42,24.09,6.39,33.9,28.23,10,0.308
650,240,3.35,22.47,3.51,29.33,32.4,14,0.271
651,240,3.43,23.77,3.42,30.61,31.12,10,0.334
652,240,3.34,25.98,6.6,35.92,26.69,9,0.364
653,240,3.36,26.4,5.61,35.37,27.14,18,0.31
654,240,5.48,23.48,3.59,32.56,29.18,10,0.326
655,240,3.09,30.36,5.88,39.33,24.57,12,0.316
656,240,3.1,22.04,3.48,28.61,33.39,15,0.323
657,240,3.09,21.22,3.48,27.79,34.32,11,0.347
658,240,3.14,21.66,3.45,28.24,33.79,13,0.341
659,240,3.11,21.12,3.93,28.16,33.85,10,0.391
