frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps,num_detections,avg_confidence
0,256,657.4,525.98,4592.55,5775.93,0.01,6,0.258
1,256,6.53,34.76,6.49,47.77,17.32,3,0.302
2,256,4.97,30.43,5.91,41.32,22.5,5,0.227
3,256,4.64,32.42,5.0,42.06,21.25,3,0.246
4,256,4.75,28.26,6.53,39.54,23.96,9,0.242
5,256,5.02,29.9,3.34,38.27,25.19,5,0.17
6,256,3.56,23.62,3.38,30.56,28.19,8,0.241
7,256,3.4,26.22,3.39,33.01,26.14,8,0.213
8,256,3.21,23.51,3.35,30.06,32.06,9,0.212
9,256,3.32,24.48,7.24,35.04,25.79,9,0.175
10,256,3.7,25.64,3.38,32.71,27.14,5,0.235
11,256,3.3,23.33,3.4,30.03,29.68,10,0.202
12,256,3.1,25.77,3.34,32.21,30.02,7,0.242
13,256,3.5,23.73,3.38,30.62,28.73,11,0.201
14,256,3.6,23.85,3.37,30.81,31.32,5,0.33
15,256,7.29,23.49,3.33,34.11,28.43,3,0.243
16,256,3.23,23.68,3.46,30.38,31.79,11,0.286
17,256,6.62,23.85,3.4,33.88,25.43,12,0.29
18,256,3.37,24.05,3.53,30.95,30.99,6,0.228
19,256,3.75,23.74,3.39,30.88,28.35,10,0.244
20,256,3.37,23.65,3.46,30.48,31.69,7,0.285
21,256,3.47,23.88,3.35,30.69,27.94,11,0.313
22,256,3.41,24.01,3.45,30.88,31.31,12,0.278
23,256,6.48,23.95,3.38,33.8,26.51,9,0.306
24,256,5.86,23.75,3.38,32.99,29.34,9,0.273
25,256,3.31,23.79,3.44,30.54,28.3,8,0.324
26,256,6.61,24.0,3.37,33.98,28.55,7,0.283
27,256,3.47,23.92,3.37,30.75,28.35,5,0.337
28,256,3.34,24.18,3.94,31.45,30.8,8,0.386
29,256,3.51,23.91,3.39,30.81,31.41,7,0.253
30,256,3.37,23.9,3.5,30.77,28.87,6,0.314
31,256,3.59,23.95,3.47,31.01,31.18,6,0.365
32,256,3.38,23.75,3.41,30.54,28.47,6,0.394
33,256,3.51,23.83,3.39,30.73,31.48,9,0.372
34,256,3.55,23.98,3.38,30.91,28.48,7,0.323
35,256,3.57,23.9,3.63,31.1,31.08,7,0.397
36,256,4.22,23.99,3.4,31.61,30.54,13,0.32
37,256,3.52,23.91,3.44,30.87,31.34,11,0.313
38,256,3.52,23.99,3.44,30.96,31.25,15,0.299
39,256,3.47,23.89,3.46,30.83,31.38,16,0.297
40,256,3.3,23.7,3.43,30.42,31.69,17,0.291
41,256,3.49,23.93,3.44,30.86,28.71,18,0.294
42,256,3.59,23.96,3.37,30.92,31.19,20,0.314
43,256,3.57,23.97,3.45,30.98,31.19,13,0.34
44,256,3.45,24.02,3.46,30.94,31.3,10,0.388
45,256,3.47,24.02,3.48,30.97,31.25,12,0.346
46,256,3.67,23.93,3.4,31.0,31.15,13,0.358
47,256,3.57,23.92,3.43,30.92,31.3,9,0.424
48,256,3.36,23.77,3.39,30.52,31.71,12,0.386
49,256,3.51,23.8,3.38,30.69,28.44,10,0.42
50,256,3.57,23.97,3.39,30.94,31.28,10,0.362
51,256,3.53,24.16,3.47,31.16,31.06,8,0.339
52,256,3.2,23.73,3.42,30.35,31.84,12,0.329
53,256,3.47,24.02,3.41,30.91,28.18,8,0.401
54,256,3.6,23.91,3.39,30.9,31.3,7,0.422
55,256,3.54,23.94,3.4,30.89,31.28,9,0.377
56,256,3.38,24.19,3.43,31.0,31.2,9,0.442
57,256,3.46,23.94,3.43,30.84,31.37,10,0.379
58,256,3.55,24.03,3.4,30.98,31.19,13,0.402
59,256,3.53,23.9,3.46,30.89,31.33,14,0.3
60,256,3.41,23.76,3.44,30.62,29.05,11,0.391
61,256,3.49,23.93,3.43,30.85,31.38,12,0.379
62,256,3.6,24.04,3.43,31.08,31.14,10,0.424
63,256,3.5,23.92,3.44,30.86,31.34,10,0.444
64,256,3.3,23.78,3.39,30.47,31.73,10,0.379
65,256,3.54,23.83,3.43,30.81,31.4,10,0.439
66,256,3.48,23.88,3.43,30.78,31.42,12,0.344
67,256,3.14,23.77,3.38,30.28,31.92,10,0.404
68,256,3.36,23.47,3.4,30.23,32.02,7,0.396
69,256,3.5,23.7,3.39,30.58,31.57,11,0.326
70,256,3.57,23.74,3.41,30.71,31.49,11,0.352
71,256,3.48,23.73,3.5,30.71,31.49,8,0.345
72,256,3.33,23.43,3.48,30.24,29.26,13,0.351
73,256,3.47,23.79,3.43,30.69,31.51,10,0.348
74,256,3.54,23.77,3.41,30.71,31.44,12,0.39
75,256,3.17,24.79,3.86,31.82,29.73,12,0.402
76,256,3.32,24.42,3.41,31.16,31.06,11,0.376
77,256,3.48,24.58,3.42,31.47,27.91,9,0.426
78,256,3.54,24.89,3.52,31.94,30.31,10,0.46
79,256,3.35,25.24,3.47,32.06,30.22,7,0.427
80,256,3.32,23.57,3.38,30.27,29.03,12,0.363
81,256,3.47,24.67,3.48,31.61,30.63,10,0.329
82,256,3.49,23.82,3.4,30.72,28.58,9,0.368
83,256,3.28,23.79,3.38,30.45,29.32,10,0.367
84,256,3.33,23.52,3.46,30.3,31.93,7,0.346
85,256,3.45,23.79,3.38,30.62,28.86,7,0.374
86,256,3.55,23.97,3.29,30.81,27.88,8,0.358
87,256,3.33,23.87,3.4,30.6,28.36,8,0.36
88,256,8.12,26.34,5.5,39.96,24.4,10,0.315
89,256,3.48,23.8,3.44,30.73,31.49,5,0.499
90,256,3.56,23.84,3.43,30.83,31.36,6,0.42
91,256,4.91,23.74,3.36,32.02,30.21,6,0.394
92,256,4.72,24.87,5.98,35.57,27.22,6,0.439
93,256,4.97,25.0,6.01,35.98,26.97,5,0.499
94,256,5.04,24.96,5.56,35.56,27.31,5,0.49
95,256,3.5,23.77,3.39,30.67,28.96,6,0.355
96,256,3.25,23.48,3.38,30.11,32.08,6,0.346
97,256,5.88,23.74,3.32,32.93,29.41,9,0.338
98,256,3.34,23.83,3.39,30.56,31.66,7,0.36
99,256,6.57,23.72,3.32,33.61,28.82,8,0.327
100,256,3.39,29.94,6.66,39.99,24.23,7,0.367
101,256,3.44,28.57,3.9,35.92,27.07,6,0.396
102,256,5.7,27.63,3.4,36.73,24.18,8,0.354
103,256,3.52,23.44,3.47,30.42,31.78,6,0.395
104,256,3.35,23.44,3.42,30.21,32.01,9,0.365
105,256,3.49,23.57,3.5,30.56,31.55,8,0.333
106,256,3.53,23.7,3.44,30.67,31.5,8,0.359
107,256,3.48,23.21,3.48,30.18,28.96,11,0.379
108,256,3.19,23.13,3.41,29.74,32.44,11,0.323
109,256,3.46,24.59,3.44,31.49,28.02,9,0.406
110,256,3.56,23.36,3.39,30.31,30.47,9,0.365
111,256,3.49,23.3,3.43,30.22,31.98,8,0.4
112,256,5.2,23.16,3.45,31.81,30.46,10,0.342
113,256,3.46,26.59,3.41,33.46,29.01,8,0.391
114,256,3.59,23.33,3.48,30.4,31.75,9,0.435
115,256,3.46,23.71,3.42,30.59,28.27,11,0.35
116,256,3.21,23.05,3.46,29.72,29.76,11,0.376
117,256,6.96,23.52,3.42,33.9,28.6,11,0.434
118,256,3.53,24.29,3.46,31.28,30.96,7,0.526
119,256,3.45,23.5,3.46,30.41,31.81,13,0.334
120,256,3.25,24.67,3.48,31.4,30.85,11,0.372
121,256,3.18,25.83,3.45,32.46,29.79,12,0.386
122,256,3.51,23.31,3.44,30.26,31.93,10,0.407
123,256,3.49,23.27,3.5,30.26,31.96,12,0.411
124,256,3.31,25.08,3.47,31.86,30.41,11,0.392
125,256,3.4,23.22,3.68,30.3,31.91,14,0.398
126,256,3.52,23.72,3.44,30.68,31.54,10,0.407
127,256,3.47,23.31,3.5,30.27,28.68,16,0.346
128,256,3.32,26.24,3.48,33.04,27.01,12,0.394
129,256,3.43,23.96,3.47,30.86,31.36,11,0.437
130,256,3.51,23.39,3.55,30.45,31.75,9,0.515
131,256,3.47,23.48,3.43,30.37,31.83,10,0.44
132,256,3.35,23.1,3.45,29.9,32.36,11,0.434
133,256,3.42,23.22,3.5,30.14,32.09,11,0.405
134,256,3.52,23.34,3.45,30.31,28.85,8,0.51
135,256,3.52,23.37,3.42,30.32,31.88,7,0.491
136,256,3.34,23.11,3.46,29.91,32.32,11,0.373
137,256,3.44,23.31,4.05,30.81,31.36,13,0.389
138,256,3.51,23.35,3.48,30.34,31.86,11,0.375
139,256,3.23,23.05,3.44,29.73,32.56,13,0.365
140,256,3.31,23.09,3.46,29.86,32.38,10,0.393
141,256,3.4,23.36,3.42,30.18,32.03,11,0.416
142,256,3.46,23.28,3.47,30.21,31.92,12,0.4
143,256,3.44,23.42,3.49,30.36,31.85,11,0.443
144,256,3.25,23.06,3.45,29.77,28.81,9,0.441
145,256,3.43,23.35,3.46,30.24,31.98,11,0.373
146,256,3.45,23.4,3.46,30.31,31.84,14,0.308
147,256,3.53,23.32,3.48,30.33,31.85,18,0.325
148,256,3.37,23.12,3.43,29.92,32.31,12,0.358
149,256,3.43,23.26,3.52,30.22,32.0,13,0.367
150,256,3.53,23.37,3.44,30.33,31.88,15,0.378
151,256,3.52,23.19,3.46,30.17,32.03,12,0.424
152,256,3.31,23.03,3.44,29.78,32.42,12,0.418
153,256,3.4,23.32,3.44,30.16,32.06,11,0.399
154,256,3.55,23.41,3.37,30.33,31.82,14,0.38
155,256,3.49,23.31,3.49,30.29,31.93,15,0.374
156,256,3.27,23.17,3.47,29.91,32.26,11,0.43
157,256,3.39,23.35,3.45,30.19,31.98,12,0.371
158,256,3.53,23.32,3.46,30.3,31.9,13,0.367
159,256,3.43,23.33,3.49,30.24,31.9,12,0.359
160,256,3.34,23.19,3.49,30.02,32.2,14,0.341
161,256,3.48,23.22,3.44,30.13,32.03,14,0.325
162,256,3.54,23.38,3.49,30.41,31.78,14,0.363
163,256,3.46,23.22,3.58,30.26,31.93,15,0.317
164,256,3.39,23.16,3.44,30.0,32.24,15,0.316
165,256,3.4,23.17,3.42,29.99,32.24,11,0.417
166,256,3.52,23.32,3.46,30.29,28.4,13,0.379
167,256,3.46,23.33,3.43,30.22,31.97,13,0.355
168,256,3.33,23.06,3.48,29.88,32.37,13,0.34
169,256,3.39,23.28,3.42,30.09,29.41,11,0.401
170,256,3.54,23.44,3.45,30.43,31.77,15,0.352
171,256,3.55,23.17,3.44,30.17,28.77,10,0.403
172,256,3.38,23.23,3.47,30.08,32.16,11,0.382
173,256,3.36,23.37,3.43,30.16,31.99,12,0.371
174,256,3.48,23.36,3.47,30.31,31.89,12,0.347
175,256,3.47,23.23,3.4,30.1,32.11,13,0.277
176,256,3.29,23.18,3.4,29.87,32.38,14,0.278
177,256,3.48,23.2,3.42,30.11,32.11,9,0.315
178,256,3.5,23.42,3.58,30.5,31.71,10,0.326
179,256,3.47,23.24,3.39,30.1,32.12,9,0.337
180,256,3.29,23.09,3.46,29.84,28.8,12,0.289
181,256,3.44,23.21,3.44,30.09,32.14,10,0.353
182,256,3.5,23.36,3.61,30.47,29.26,13,0.298
183,256,3.44,23.28,3.44,30.15,28.84,14,0.29
184,256,3.32,23.09,3.39,29.79,32.45,10,0.376
185,256,3.44,23.18,3.42,30.04,32.16,16,0.302
186,256,3.52,23.33,3.36,30.21,31.95,13,0.35
187,256,3.48,23.73,3.41,30.61,28.95,13,0.34
188,256,3.34,23.12,3.43,29.9,32.34,15,0.316
189,256,3.45,23.24,3.44,30.13,32.09,10,0.348
190,256,3.59,23.28,3.44,30.31,29.41,8,0.353
191,256,3.5,23.28,3.43,30.21,32.0,9,0.346
