frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps,num_detections,avg_confidence
496,640,31.35,403.24,5.72,440.32,2.27,16,0.486
497,640,27.8,414.93,5.09,447.82,2.23,15,0.539
498,640,26.94,407.26,8.15,442.35,2.26,14,0.558
499,640,26.39,407.55,8.97,442.9,2.25,18,0.513
500,640,40.24,412.2,7.71,460.15,2.17,15,0.545
501,640,25.05,410.62,5.18,440.85,2.26,18,0.495
502,640,23.36,439.7,5.87,468.93,2.11,18,0.492
503,640,24.66,401.97,5.19,431.82,2.31,17,0.518
504,640,28.34,405.45,5.06,438.86,2.27,20,0.486
505,640,24.77,408.59,7.41,440.77,2.26,13,0.576
506,640,26.79,409.88,5.99,442.66,2.25,16,0.528
507,640,21.25,414.42,5.99,441.66,2.26,17,0.51
508,640,28.66,407.68,7.43,443.76,2.25,18,0.513
509,640,24.05,407.71,8.17,439.93,2.26,18,0.501
510,640,25.02,408.66,5.54,439.21,2.27,18,0.492
511,640,21.72,412.11,5.64,439.47,2.27,17,0.503
512,640,22.94,409.39,8.57,440.9,2.26,20,0.499
513,640,32.99,399.2,7.54,439.73,2.26,18,0.542
514,640,21.98,403.43,5.17,430.57,2.3,16,0.534
515,640,21.17,412.56,5.12,438.85,2.27,19,0.501
516,640,27.18,409.1,7.57,443.85,2.23,17,0.478
517,640,27.37,405.66,8.22,441.25,2.26,16,0.518
518,640,32.2,400.18,7.28,439.67,2.26,16,0.517
519,640,27.82,406.31,7.39,441.52,2.26,17,0.509
520,640,25.25,407.86,5.02,438.13,2.27,15,0.55
521,640,20.48,409.28,8.91,438.68,2.27,16,0.55
522,640,24.25,397.28,5.04,426.58,2.33,20,0.486
523,640,25.0,415.69,5.09,445.79,2.24,19,0.488
524,640,24.81,409.73,5.06,439.6,2.27,17,0.536
525,640,25.31,410.27,10.15,445.73,2.23,18,0.501
526,640,23.37,397.52,7.46,428.36,2.32,17,0.52
527,640,23.09,404.33,7.56,434.97,2.29,18,0.491
528,640,21.93,411.06,7.97,440.97,2.24,18,0.505
529,640,26.13,406.38,8.09,440.6,2.26,17,0.497
530,640,26.46,404.54,9.03,440.03,2.26,15,0.488
531,640,29.34,399.71,7.49,436.55,2.26,15,0.501
532,640,24.76,411.98,5.25,441.99,2.24,16,0.518
533,640,21.08,408.21,5.4,434.7,2.29,18,0.491
534,640,24.62,406.39,5.83,436.84,2.28,14,0.534
535,640,29.89,400.29,4.97,435.15,2.29,13,0.53
536,640,22.2,407.12,7.65,436.98,2.28,16,0.495
537,640,30.09,405.98,5.09,441.16,2.26,15,0.551
538,640,24.22,409.59,9.68,443.49,2.25,13,0.588
539,640,23.13,400.19,8.04,431.36,2.31,13,0.509
540,640,30.17,402.71,8.17,441.05,2.26,12,0.585
541,640,29.6,410.6,8.88,449.07,2.22,14,0.543
542,640,23.86,407.66,10.69,442.21,2.25,17,0.512
543,640,32.81,400.56,5.1,438.47,2.27,15,0.53
544,640,21.81,411.69,5.53,439.02,2.27,14,0.542
545,640,21.91,406.66,5.93,434.49,2.29,14,0.576
546,640,26.76,399.62,5.07,431.45,2.31,16,0.552
547,640,21.98,410.13,5.32,437.43,2.28,16,0.512
548,640,21.91,406.35,8.0,436.26,2.28,14,0.525
549,640,33.38,401.11,5.38,439.88,2.26,14,0.569
550,640,22.96,407.44,8.19,438.59,2.27,15,0.543
551,640,24.37,412.34,11.98,448.69,2.22,16,0.559
552,640,26.9,408.66,5.16,440.72,2.25,13,0.588
553,640,21.06,422.04,5.5,448.59,2.22,15,0.55
554,640,23.22,412.51,7.8,443.53,2.25,19,0.514
555,640,25.58,412.4,8.43,446.41,2.23,18,0.514
556,640,24.99,401.48,5.56,432.03,2.31,17,0.545
557,640,26.41,415.12,7.79,449.32,2.22,18,0.537
558,640,28.07,411.77,7.78,447.62,2.23,16,0.582
559,640,22.62,408.08,8.47,439.18,2.27,16,0.562
560,640,16.73,410.26,8.77,435.76,2.29,18,0.55
561,640,24.69,414.4,5.04,444.13,2.24,16,0.515
562,640,26.5,412.67,5.18,444.35,2.24,20,0.52
563,640,25.65,404.99,5.9,436.54,2.28,20,0.542
564,640,30.81,404.82,8.97,444.6,2.24,20,0.537
565,640,17.56,415.18,5.3,438.03,2.27,20,0.54
566,640,18.4,414.85,5.1,438.35,2.27,19,0.531
567,640,26.27,411.81,9.0,447.08,2.23,21,0.507
568,640,25.23,400.09,7.74,433.06,2.3,18,0.549
569,640,26.11,404.43,7.4,437.93,2.27,19,0.518
570,640,22.89,406.24,7.83,436.96,2.28,18,0.508
571,640,23.16,409.22,9.6,441.99,2.24,17,0.512
572,640,23.97,396.59,5.12,425.68,2.34,18,0.486
573,640,32.36,414.36,5.05,451.77,2.21,20,0.476
574,640,22.43,408.7,5.17,436.29,2.28,16,0.525
575,640,26.91,408.2,9.58,444.69,2.24,18,0.483
576,640,28.83,402.9,5.93,437.67,2.28,17,0.516
577,640,26.7,415.17,5.83,447.71,2.23,18,0.526
578,640,19.98,407.01,6.21,433.21,2.3,21,0.525
579,640,23.1,413.37,5.09,441.57,2.26,16,0.552
580,640,25.65,413.07,8.93,447.65,2.23,18,0.541
581,640,21.15,401.17,5.17,427.49,2.33,21,0.552
582,640,24.22,402.13,5.14,431.5,2.31,16,0.574
583,640,24.79,410.68,5.16,440.62,2.26,16,0.551
584,640,27.72,411.26,9.11,448.08,2.22,17,0.529
585,640,22.63,413.07,8.39,444.08,2.25,19,0.535
586,640,33.04,402.23,5.38,440.65,2.25,17,0.535
587,640,22.67,418.06,5.91,446.64,2.23,16,0.531
588,640,21.89,414.02,7.58,443.48,2.25,20,0.537
589,640,27.35,408.65,8.52,444.52,2.24,19,0.541
590,640,23.27,405.03,7.5,435.8,2.29,20,0.543
591,640,20.76,408.96,7.57,437.29,2.28,19,0.559
592,640,22.95,413.51,6.03,442.49,2.25,20,0.52
593,640,26.84,413.42,8.99,449.25,2.22,20,0.525
594,640,18.42,409.75,11.39,439.55,2.26,18,0.513
595,640,26.53,410.12,9.21,445.86,2.19,18,0.509
