Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   510 |            9.99 |           27.81 |             5.02 | 21.18
   511 |            9.60 |           25.64 |             4.85 | 22.54
   512 |            8.87 |           24.69 |             4.08 | 24.12
   513 |            9.66 |           28.21 |             3.47 | 21.23
   514 |           12.41 |           25.91 |             5.72 | 20.70
   515 |           10.49 |           22.82 |             5.11 | 22.88
   516 |            7.85 |           24.30 |             3.54 | 24.78
   517 |           10.24 |           25.82 |             4.78 | 22.51
   518 |           10.89 |           23.31 |             4.15 | 23.70
   519 |            8.28 |           24.74 |             4.81 | 24.01
   520 |           10.54 |           23.95 |             4.52 | 21.36
   521 |            8.45 |           26.48 |             4.03 | 23.61
   522 |            9.38 |           26.89 |             4.48 | 22.02
   523 |            9.01 |           26.74 |             7.28 | 21.23
   524 |           10.43 |           26.83 |             4.28 | 21.79
   525 |            5.75 |           26.60 |             4.47 | 23.48
   526 |           10.49 |           27.84 |             3.15 | 21.71
   527 |            8.97 |           24.89 |             3.14 | 24.43
   528 |            7.46 |           28.57 |             6.62 | 21.12
   529 |           10.19 |           27.98 |             5.46 | 20.67
   530 |            8.78 |           27.78 |             5.29 | 21.23
   531 |           10.12 |           26.54 |             5.61 | 21.12
   532 |            8.45 |           27.02 |             3.14 | 22.37
   533 |            6.91 |           24.03 |             3.12 | 26.53
   534 |            5.61 |           22.55 |             4.02 | 25.86
   535 |           10.35 |           26.74 |             4.99 | 21.45
   536 |            4.75 |           24.71 |             5.22 | 25.48
   537 |            8.88 |           26.69 |             3.23 | 23.91
   538 |            6.23 |           25.96 |             3.87 | 23.58
   539 |            6.16 |           28.96 |             6.32 | 21.90
   540 |           10.59 |           26.58 |             3.17 | 22.84
   541 |            5.84 |           26.53 |             3.21 | 25.32
   542 |           10.87 |           26.72 |             6.69 | 21.02
   543 |            9.30 |           28.44 |             6.11 | 20.93
   544 |            5.25 |           27.12 |             3.28 | 25.41
   545 |            3.77 |           27.38 |             5.19 | 25.03
   546 |           10.09 |           26.84 |             6.38 | 20.78
   547 |            7.00 |           22.82 |             3.86 | 25.46
   548 |            8.82 |           26.29 |             3.73 | 22.84
   549 |            6.37 |           24.47 |             4.82 | 23.53
   550 |           11.41 |           24.46 |             5.91 | 21.92
   551 |            9.84 |           29.42 |             4.77 | 20.51
   552 |            5.06 |           24.56 |             6.00 | 24.06
   553 |            7.98 |           29.06 |             3.15 | 22.43
   554 |            7.82 |           31.66 |             3.11 | 21.09
   555 |           11.43 |           23.90 |             3.12 | 23.52
   556 |            7.57 |           23.56 |             4.59 | 25.44
   557 |            7.49 |           26.41 |             4.15 | 23.51
   558 |           10.50 |           27.18 |             3.25 | 22.49
   559 |           10.46 |           22.46 |             3.23 | 24.92
   560 |           11.59 |           22.06 |             5.08 | 22.91
   561 |            9.69 |           26.90 |             4.85 | 21.79
   562 |            8.38 |           27.81 |             4.82 | 22.48
   563 |            8.37 |           25.61 |             3.14 | 24.27
   564 |            6.19 |           24.14 |             4.04 | 25.46
   565 |            5.70 |           28.11 |             3.19 | 24.34
   566 |            6.09 |           25.10 |             7.25 | 23.27
   567 |            5.48 |           25.79 |             3.13 | 26.27
   568 |            9.00 |           25.72 |             3.13 | 23.89
   569 |            6.87 |           29.67 |             8.11 | 20.74
   570 |            6.97 |           22.78 |             5.45 | 24.87
   571 |            9.74 |           24.19 |             3.81 | 22.56
   572 |            6.18 |           29.83 |             3.91 | 22.30
   573 |            5.19 |           23.31 |             4.86 | 26.75
   574 |            9.11 |           26.65 |             7.74 | 20.75
   575 |           10.68 |           26.10 |             3.11 | 21.69
   576 |            6.87 |           27.32 |             3.14 | 24.42
   577 |            6.93 |           25.14 |             4.76 | 24.19
   578 |            7.87 |           25.54 |             7.32 | 21.92
   579 |            9.97 |           25.33 |             3.37 | 23.09
   580 |            7.73 |           23.02 |             6.78 | 23.57
   581 |            6.77 |           29.84 |             5.32 | 21.82
   582 |            6.66 |           25.14 |             3.79 | 25.36
   583 |            9.01 |           25.21 |             5.78 | 22.51
   584 |           10.74 |           28.37 |             5.48 | 20.25
   585 |            6.78 |           23.40 |             3.12 | 26.67
   586 |            6.26 |           29.29 |             3.21 | 23.31
   587 |            9.03 |           22.80 |             3.16 | 25.77
   588 |           10.51 |           28.49 |             5.15 | 20.78
   589 |            8.31 |           28.49 |             5.15 | 21.79
   590 |            7.81 |           28.17 |             6.57 | 21.31
   591 |            8.92 |           26.48 |             3.02 | 23.21
   592 |            6.57 |           28.50 |             3.95 | 22.69
   593 |            8.47 |           26.40 |             4.86 | 22.44
   594 |            6.47 |           25.90 |             5.38 | 23.86
   595 |            9.48 |           28.55 |             4.15 | 21.59
   596 |            7.56 |           31.29 |             4.56 | 21.39
   597 |            5.36 |           28.41 |             3.09 | 24.73
   598 |            7.47 |           24.51 |             3.16 | 25.97
   599 |            9.79 |           26.24 |             3.12 | 23.28
   600 |           12.32 |           24.94 |             5.24 | 21.30
   601 |           12.11 |           25.72 |             4.59 | 21.06
   602 |            5.56 |           24.34 |             4.39 | 25.83
   603 |            7.04 |           23.77 |             3.23 | 26.17
   604 |           10.61 |           24.65 |             5.49 | 22.17
   605 |            9.12 |           30.41 |             3.95 | 21.10
   606 |            9.66 |           27.27 |             3.20 | 23.20
   607 |           11.15 |           26.45 |             4.06 | 21.36
   608 |           13.57 |           25.25 |             4.78 | 20.79
   609 |            5.66 |           23.13 |             6.21 | 24.90
   610 |            7.41 |           25.07 |             5.54 | 23.15
   611 |            8.80 |           25.12 |             3.15 | 24.37
   612 |            6.69 |           23.36 |             3.51 | 26.15
   613 |            9.71 |           25.20 |             3.40 | 22.69
   614 |           15.71 |           24.50 |             3.38 | 21.06
   615 |           12.14 |           26.03 |             6.84 | 20.27
   616 |            8.74 |           24.78 |             3.48 | 24.46
   617 |            7.46 |           26.78 |             5.29 | 22.64
   618 |            7.34 |           28.68 |             5.94 | 21.10
   619 |           10.10 |           30.89 |             3.85 | 20.01
   620 |            8.21 |           26.11 |             3.52 | 23.74
   621 |            8.42 |           29.45 |             3.51 | 21.99
   622 |            7.69 |           31.72 |             3.99 | 21.35
   623 |            6.99 |           23.37 |             3.08 | 26.97
   624 |           10.15 |           23.05 |             3.21 | 24.73
   625 |            8.22 |           24.03 |             3.65 | 24.07
   626 |            4.06 |           27.18 |             7.01 | 23.43
   627 |            4.85 |           30.26 |             3.16 | 23.24
   628 |            7.43 |           26.60 |             3.15 | 24.38
   629 |            5.12 |           26.22 |             7.14 | 23.43
   630 |           12.48 |           26.27 |             7.96 | 19.52
   631 |            8.54 |           26.80 |             7.02 | 21.58
   632 |           10.54 |           28.46 |             6.37 | 19.99
   633 |            6.54 |           24.40 |             7.04 | 23.42
   634 |           12.83 |           29.39 |             3.14 | 20.35
   635 |           14.59 |           30.22 |             3.15 | 19.34
   636 |           12.23 |           26.67 |             5.35 | 20.66
   637 |           12.61 |           24.24 |             5.99 | 20.73
   638 |            7.46 |           25.25 |             5.40 | 23.00
   639 |            8.63 |           30.09 |             4.60 | 20.45
   640 |            9.23 |           29.04 |             5.62 | 20.82
   641 |            5.93 |           31.56 |             7.36 | 19.78
   642 |            7.52 |           30.11 |             7.02 | 20.34
   643 |           10.72 |           26.44 |             5.87 | 21.03
   644 |           11.40 |           33.01 |             5.82 | 18.20
   645 |           10.82 |           31.19 |             5.75 | 19.29
   646 |            8.68 |           31.60 |             7.02 | 18.78
   647 |           15.58 |           28.24 |             3.45 | 19.78
   648 |            6.84 |           28.37 |             6.50 | 21.21
   649 |           10.28 |           33.24 |             7.25 | 18.08
   650 |           12.79 |           26.89 |             5.83 | 20.27
   651 |            9.95 |           31.03 |             6.17 | 19.11
   652 |            8.28 |           31.04 |             5.25 | 19.98
   653 |            9.52 |           29.06 |             3.76 | 21.33
   654 |            6.19 |           28.80 |             5.24 | 21.45
   655 |           11.27 |           31.28 |             3.22 | 19.81
   656 |           12.20 |           25.96 |             3.51 | 22.10
   657 |            5.30 |           31.21 |             6.95 | 21.29
   658 |            6.16 |           26.72 |             3.84 | 23.71
   659 |            6.68 |           32.61 |             5.21 | 20.45
   660 |            7.73 |           31.41 |             5.87 | 20.31

===========================================================================
--- PODSUMOWANIE ---
Przetworzone klatki: 660
Średni czas inferencji: 26.90 ms
