Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   117 |            6.46 |           25.29 |             4.63 | 23.77
   118 |            5.17 |           27.67 |             3.06 | 25.20
   119 |            5.80 |           27.80 |             3.07 | 24.65
   120 |            7.24 |           26.05 |             6.81 | 22.41
   121 |            9.67 |           28.25 |             3.10 | 21.87
   122 |            9.47 |           27.16 |             4.77 | 21.42
   123 |            9.08 |           23.02 |             3.24 | 25.60
   124 |           10.70 |           24.81 |             5.59 | 21.83
   125 |            9.09 |           31.46 |             3.86 | 20.51
   126 |            3.34 |           27.76 |             3.83 | 26.37
   127 |            4.76 |           29.02 |             3.24 | 24.63
   128 |            6.64 |           27.20 |             6.59 | 22.18
   129 |           10.93 |           25.14 |             5.16 | 21.04
   130 |            9.70 |           25.38 |             3.13 | 23.78
   131 |            6.52 |           26.54 |             3.18 | 24.43
   132 |            9.52 |           26.32 |             6.71 | 21.12
   133 |           10.80 |           23.97 |             3.12 | 23.72
   134 |            9.68 |           27.55 |             3.33 | 21.82
   135 |           11.46 |           25.87 |             4.74 | 21.35
   136 |            8.63 |           25.96 |             3.09 | 24.06
   137 |            5.13 |           29.46 |             3.04 | 24.58
   138 |            8.22 |           27.56 |             3.61 | 22.57
   139 |            7.92 |           26.51 |             3.10 | 23.60
   140 |            5.52 |           27.67 |             3.08 | 25.18
   141 |            6.41 |           23.93 |             5.40 | 24.95
   142 |            8.08 |           25.08 |             6.28 | 22.03
   143 |           10.34 |           25.49 |             3.16 | 22.83
   144 |            9.04 |           29.96 |             6.80 | 19.52
   145 |            9.36 |           23.96 |             7.07 | 22.67
   146 |            7.33 |           28.14 |             5.57 | 21.81
   147 |            5.29 |           28.08 |             4.83 | 22.38
   148 |            6.72 |           26.35 |             3.41 | 24.34
   149 |           11.11 |           28.40 |             7.99 | 19.12
   150 |            9.69 |           28.60 |             4.85 | 21.36
   151 |           11.01 |           26.57 |             5.69 | 20.82
   152 |           11.40 |           27.04 |             5.34 | 20.64
   153 |            6.39 |           27.70 |             3.55 | 23.59
   154 |            8.22 |           24.52 |             3.53 | 24.96
   155 |            7.51 |           24.64 |             6.52 | 22.77
   156 |           11.57 |           25.81 |             6.26 | 20.41
   157 |            9.77 |           22.88 |             4.95 | 24.39
   158 |            6.84 |           26.59 |             3.56 | 23.78
   159 |           11.99 |           22.56 |             3.23 | 22.93
   160 |            8.86 |           24.19 |             3.19 | 24.97
   161 |           11.94 |           23.92 |             6.22 | 21.84
   162 |           10.40 |           24.65 |             6.73 | 21.26
   163 |           10.24 |           22.96 |             3.14 | 24.62
   164 |            6.84 |           24.95 |             4.80 | 23.29
   165 |            8.03 |           26.65 |             3.63 | 23.07
   166 |            7.26 |           29.88 |             3.62 | 22.66
   167 |            9.41 |           26.47 |             4.92 | 22.07
   168 |            8.95 |           30.54 |             4.86 | 20.07
   169 |            8.81 |           26.29 |             3.77 | 22.72
   170 |            5.73 |           29.99 |             3.85 | 22.30
   171 |            7.86 |           31.57 |             3.40 | 21.51
   172 |            7.65 |           26.35 |             4.80 | 22.69
   173 |           10.28 |           25.58 |             5.25 | 21.77
   174 |           10.63 |           27.60 |             4.40 | 20.72
   175 |            7.98 |           28.65 |             3.16 | 22.46
   176 |            5.86 |           26.36 |             4.75 | 23.41
   177 |            5.95 |           24.99 |             3.10 | 26.02
   178 |            6.03 |           28.25 |             4.13 | 23.87
   179 |           11.60 |           27.41 |             4.64 | 20.77
   180 |            6.25 |           24.52 |             3.07 | 25.92
   181 |           10.98 |           25.95 |             3.09 | 22.31
   182 |           10.24 |           26.01 |             6.97 | 20.56
   183 |            8.86 |           25.96 |             4.74 | 22.45
   184 |           10.47 |           29.67 |             5.28 | 19.87
   185 |            8.56 |           28.98 |             4.03 | 21.85
   186 |            9.48 |           32.67 |             4.43 | 19.47
   187 |            8.33 |           27.36 |             4.28 | 21.06
   188 |            7.68 |           26.13 |             5.91 | 23.03
   189 |            3.48 |           24.07 |             3.05 | 29.20
